"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"47",2011,345300.424401796,193551.426426338,1798452.74252261,12.8684521868508,0.59342057803027,"28","cod",345.300424401796,193.551426426338,1798.45274252261
"48",2012,309847.223299658,152211.244975512,1585487.63922793,12.7334910367075,0.592127236070829,"28","cod",309.847223299658,152.211244975512,1585.48763922793
"49",2013,366372.772260104,203776.996729464,1892074.5166899,12.9065743072122,0.57076519254541,"28","cod",366.372772260104,203.776996729464,1892.0745166899
"50",2014,397194.981903776,200140.289064611,1619339.19090283,12.9725045643749,0.535096193981418,"28","cod",397.194981903776,200.140289064611,1619.33919090283
"51",2015,413956.537816626,225825.896307255,1741730.99926114,13.0259853616507,0.544399178256133,"28","cod",413.956537816626,225.825896307255,1741.73099926114
"52",2016,363534.054554426,191485.993934603,1824625.63993387,12.8942803341296,0.588136669940676,"28","cod",363.534054554426,191.485993934603,1824.62563993387
"53",2017,910225.335551976,511886.221359801,5976339.30560785,13.8654406954762,0.675290984833661,"28","cod",910.225335551976,511.886221359801,5976.33930560785
"54",2018,422383.763540147,198804.266919643,2127434.42575242,13.0490080754312,0.636087344787686,"28","cod",422.383763540147,198.804266919643,2127.43442575242
"55",2019,433152.655053437,163953.560682664,1944930.61109617,13.0385323450833,0.633054929901105,"28","cod",433.152655053437,163.953560682664,1944.93061109617
"56",2020,418572.261894831,124158.753060473,2146316.83651669,12.9957013431136,0.716281538905498,"28","cod",418.572261894831,124.158753060473,2146.31683651669
"57",1993,4218389.88959829,2869569.26865285,7059225.4654681,15.2749461299393,0.230264317254592,"25","fle",4218.38988959829,2869.56926865285,7059.2254654681
"58",1994,4661938.43991285,3274961.39950076,7173408.00959077,15.3603614030497,0.209749807337953,"25","fle",4661.93843991285,3274.96139950076,7173.40800959077
"59",1995,4542468.22116926,3185354.62390224,6855059.9820233,15.3379015467468,0.191810944948956,"25","fle",4542.46822116926,3185.35462390224,6855.0599820233
"60",1996,4539200.47841951,3344119.66752557,6598838.76581499,15.3330684080529,0.181951499781157,"25","fle",4539.20047841951,3344.11966752557,6598.83876581499
"61",1997,1423725.89327894,971595.961666021,2185630.78668017,14.171764995119,0.202427138635211,"25","fle",1423.72589327894,971.595961666021,2185.63078668017
"62",1998,1699768.42252402,1279391.38577991,2275878.61035008,14.3476729534987,0.15194499653416,"25","fle",1699.76842252402,1279.39138577991,2275.87861035008
"63",1999,2056591.51916431,1578872.97907904,2806030.93630792,14.545023755656,0.140381688719863,"25","fle",2056.59151916431,1578.87297907904,2806.03093630792
"64",2000,3028654.59991153,2222709.73499556,4162428.03722809,14.9244905260075,0.152958615092896,"25","fle",3028.65459991153,2222.70973499556,4162.42803722809
"65",2001,3404939.43464434,2666530.57560554,4502155.41456742,15.0471149180018,0.136964301066287,"25","fle",3404.93943464434,2666.53057560554,4502.15541456742
"66",2002,6111056.84125918,4302782.76126577,9216818.17183278,15.6397490528762,0.199406059173576,"25","fle",6111.05684125918,4302.78276126577,9216.81817183278
"67",2003,4040974.806632,3162276.72852793,5129023.3721783,15.2070835429766,0.124687163188741,"25","fle",4040.974806632,3162.27672852793,5129.0233721783
"68",2004,2366680.4273191,1896300.79307143,3018287.56978009,14.6794618554741,0.120378916717384,"25","fle",2366.6804273191,1896.30079307143,3018.28756978009
"69",2005,2186313.16101965,1745613.53038872,2708566.3324528,14.5952429153584,0.113791015350151,"25","fle",2186.31316101965,1745.61353038872,2708.5663324528
"70",2006,2428481.64781668,1923896.98369309,3070277.00065137,14.7048895487192,0.119732032032058,"25","fle",2428.48164781668,1923.89698369309,3070.27700065137
"71",2007,4151743.22478774,3308312.18796843,5331561.35380531,15.2434897624609,0.117378699350915,"25","fle",4151.74322478774,3308.31218796843,5331.56135380531
"72",2008,3589737.43155273,2855321.31934224,4531229.0111534,15.0953907606795,0.120178071812201,"25","fle",3589.73743155273,2855.32131934224,4531.2290111534
"73",2009,2739125.95694238,2242873.45977652,3377937.11576675,14.8236829135621,0.100458509114562,"25","fle",2739.12595694238,2242.87345977652,3377.93711576675
"74",2010,2706447.45492266,2193077.08882745,3495986.99596134,14.8152895779421,0.12061240753644,"25","fle",2706.44745492266,2193.07708882745,3495.98699596134
"75",2011,2252867.9443929,1779934.74236321,2854502.53992926,14.6252852864269,0.126977545123454,"25","fle",2252.8679443929,1779.93474236321,2854.50253992926
"76",2012,2241578.54555837,1820648.22139764,2797630.42175283,14.6270219372836,0.112376215369736,"25","fle",2241.57854555837,1820.64822139764,2797.63042175283
"77",2013,2748252.15557252,2295294.3844358,3369784.9617024,14.8320367695423,0.0992584292172667,"25","fle",2748.25215557252,2295.2943844358,3369.7849617024
"78",2014,3293652.47026996,2734379.1262835,3981811.99865492,15.011419273938,0.100210445073086,"25","fle",3293.65247026996,2734.3791262835,3981.81199865492
"79",2015,3248511.08661783,2650592.9439593,4038735.5895712,14.9922561898454,0.108912332471507,"25","fle",3248.51108661783,2650.5929439593,4038.7355895712
"80",2016,4807216.12199962,4033862.48018685,5912827.445605,15.3874324058166,0.0957109060358862,"25","fle",4807.21612199962,4033.86248018685,5912.827445605
"81",2017,4864087.20613944,3921244.13272064,6343162.28201419,15.4035707638755,0.117779113701757,"25","fle",4864.08720613944,3921.24413272064,6343.16228201419
"82",2018,4578144.6424528,3629799.77455497,6158374.8517766,15.3514229181587,0.139677999609779,"25","fle",4578.1446424528,3629.79977455497,6158.3748517766
"83",2019,6070108.937061,4433867.3458343,9324284.48454885,15.6319122361721,0.188582997256509,"25","fle",6070.108937061,4433.8673458343,9324.28448454885
"84",2020,6412461.52716347,4595499.78773956,9516959.67667824,15.6799749967892,0.189977467384288,"25","fle",6412.46152716347,4595.49978773956,9516.95967667824
"85",1993,1534708.91950567,765638.519583536,3602505.63129839,14.2554188650683,0.40322572143462,"28","fle",1534.70891950567,765.638519583536,3602.50563129839
"86",1994,1573522.06668796,887630.519363214,3199773.76186325,14.2853557445801,0.334155086087815,"28","fle",1573.52206668796,887.630519363214,3199.77376186325
"87",1995,2265758.57030681,1336382.14526204,4580670.2152122,14.6523435040011,0.326579968408827,"28","fle",2265.75857030681,1336.38214526204,4580.6702152122
"88",1996,2145106.19013303,1227039.04464666,4690996.94846096,14.6006828097839,0.336819704233829,"28","fle",2145.10619013303,1227.03904464666,4690.99694846096
"89",1997,1695470.33926174,947229.593522906,3545962.8849237,14.3648934477201,0.335554310556588,"28","fle",1695.47033926174,947.229593522906,3545.9628849237
"90",1998,1790490.01210598,1037526.07425435,3577764.1254872,14.4146388025473,0.315767682354449,"28","fle",1790.49001210598,1037.52607425435,3577.7641254872
"91",1999,2351201.97195845,1375328.69636617,4647171.43490503,14.6943391492839,0.318080126832526,"28","fle",2351.20197195845,1375.32869636617,4647.17143490503
"92",2000,3326067.20661408,1941252.31280469,6877707.99828514,15.0332554354896,0.307076296632113,"28","fle",3326.06720661408,1941.25231280469,6877.70799828514
"93",2001,5362129.48452536,3331352.74788327,10377678.3280223,15.5353685950972,0.3186459878315,"28","fle",5362.12948452536,3331.35274788327,10377.6783280223
"94",2002,4482987.32204611,2299299.49559269,11023075.0803696,15.3480746790965,0.39303939955656,"28","fle",4482.98732204611,2299.29949559269,11023.0750803696
"95",2003,3581510.22613561,1902895.02338645,7907553.39329197,15.1201352797549,0.373867482296661,"28","fle",3581.51022613561,1902.89502338645,7907.55339329197
"96",2004,2391166.05669555,1290198.92043346,5566903.21796234,14.7204169146153,0.38318969736388,"28","fle",2391.16605669555,1290.19892043346,5566.90321796234
